rising_edge_ns,falling_edge_ns
1771359857999980000,1771359858199980000
1771359858999980000,1771359859799980000
1771359859999980000,1771359860199980000
1771359860999980000,1771359861199980000
1771359861999980000,1771359862199980000
1771359862999980000,1771359863201870000
1771359863999980000,1771359864200841000
1771359864999980000,1771359865199980000
1771359865999982000,1771359866499982000
1771359866999980000,1771359867199980000
1771359867999981000,1771359868199981000
1771359868999981000,1771359869799981000
1771359869999980000,1771359870199980000
1771359870999980000,1771359871202973000
1771359871999980000,1771359872199980000
1771359872999980000,1771359873499980000
1771359873999980000,1771359874199980000
1771359874999980000,1771359875199980000
1771359875999980000,1771359876199980000
1771359876999981000,1771359877499981000
1771359877999981000,1771359878199981000
1771359878999980000,1771359879799980000
1771359879999980000,1771359880199980000
1771359880999980000,1771359881200190000
1771359881999982000,1771359882199982000
1771359883000005000,1771359883200005000
1771359883999980000,1771359884199980000
1771359884999980000,1771359885199980000
1771359885999981000,1771359886199981000
1771359886999981000,1771359887199981000
1771359887999980000,1771359888199980000
1771359888999980000,1771359889799980000
1771359889999981000,1771359890199981000
1771359890999982000,1771359891499982000
1771359891999980000,1771359892499980000
1771359892999980000,1771359893199980000
1771359893999981000,1771359894199981000
1771359894999980000,1771359895199980000
1771359895999980000,1771359896499980000
1771359896999980000,1771359897199980000
1771359897999980000,1771359898199980000
1771359898999980000,1771359899799980000
1771359899999980000,1771359900799980000
1771359900999980000,1771359901199980000
1771359901999980000,1771359902199980000
1771359902999980000,1771359903199980000
1771359904000000000,1771359904200000000
1771359904999980000,1771359905199980000
1771359905999980000,1771359906199980000
1771359906999980000,1771359907199980000
1771359907999980000,1771359908199980000
1771359908999980000,1771359909799980000
1771359909999981000,1771359910499981000
1771359910999980000,1771359911199980000
1771359911999980000,1771359912499980000
1771359913000131000,1771359913200131000
1771359913999980000,1771359914199980000
1771359914999981000,1771359915199981000
1771359915999980000,1771359916499980000
1771359916999981000,1771359917199981000
1771359917999980000,1771359918199980000
1771359918999980000,1771359919799980000
1771359919999980000,1771359920199980000
1771359920999980000,1771359921199980000
1771359921999981000,1771359922199981000
1771359922999981000,1771359923199981000
1771359923999981000,1771359924199981000
1771359924999980000,1771359925199980000
1771359925999980000,1771359926499980000
1771359926999980000,1771359927199980000
1771359927999980000,1771359928199980000
1771359928999980000,1771359929799980000
1771359929999982000,1771359930199982000
1771359930999982000,1771359931199982000
1771359931999981000,1771359932199981000
1771359932999981000,1771359933499981000
1771359933999980000,1771359934199980000
1771359934999980000,1771359935199980000
1771359935999980000,1771359936199980000
1771359936999981000,1771359937499981000
1771359937999980000,1771359938199980000
1771359938999980000,1771359939799980000
1771359939999980000,1771359940199980000
1771359940999980000,1771359941199980000
1771359941999980000,1771359942199980000
1771359942999980000,1771359943199980000
1771359943999981000,1771359944199981000
1771359944999980000,1771359945199980000
1771359945999980000,1771359946199980000
1771359946999980000,1771359947199980000
1771359947999981000,1771359948199981000
1771359948999980000,1771359949799980000
1771359949999980000,1771359950199980000
1771359950999980000,1771359951499980000
1771359951999980000,1771359952499980000
1771359952999980000,1771359953199980000
1771359953999980000,1771359954199980000
1771359954999980000,1771359955199980000
1771359955999980000,1771359956499980000
1771359956999980000,1771359957199980000
1771359957999980000,1771359958199980000
1771359958999980000,1771359959799980000
1771359959999980000,1771359960799980000
1771359960999980000,1771359961199980000
1771359961999980000,1771359962199980000
1771359962999980000,1771359963199980000
1771359963999980000,1771359964199980000
1771359964999980000,1771359965199980000
1771359965999980000,1771359966199980000
1771359966999980000,1771359967199980000
1771359967999980000,1771359968199980000
1771359968999980000,1771359969799980000
1771359969999980000,1771359970199980000
1771359970999980000,1771359971499980000
1771359971999980000,1771359972499980000
1771359972999980000,1771359973199980000
1771359973999980000,1771359974199980000
1771359974999980000,1771359975199980000
